Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Bayern Munich,34,25,4,5,80,18,62,79,Qualification for the Champions League group stage
2,VfL Wolfsburg,34,20,9,5,72,38,34,69,Qualification for the Champions League group stage
3,Borussia Mönchengladbach,34,19,9,6,53,26,27,66,Qualification for the Champions League group stage
4,Bayer Leverkusen,34,17,10,7,62,37,25,61,Qualification for the Champions League play-off round
5,FC Augsburg,34,15,4,15,43,43,0,49,Qualification for the Europa League group stage
6,Schalke 04,34,13,9,12,42,40,2,48,Qualification for the Europa League group stage
7,Borussia Dortmund,34,13,7,14,47,42,5,46,Qualification for the Europa League third qualifying round
8,1899 Hoffenheim,34,12,8,14,49,55,-6,44,
9,Eintracht Frankfurt,34,11,10,13,56,62,-6,43,
10,Werder Bremen,34,11,10,13,50,65,-15,43,
11,Mainz 05,34,9,13,12,45,47,-2,40,
12,1. FC Köln,34,9,13,12,34,40,-6,40,
13,Hannover 96,34,9,10,15,40,56,-16,37,
14,VfB Stuttgart,34,9,9,16,42,60,-18,36,
15,Hertha BSC,34,9,8,17,36,52,-16,35,
16,Hamburger SV,34,9,8,17,25,50,-25,35,Qualification for the relegation play-offs
17,SC Freiburg,34,7,13,14,36,47,-11,34,Relegation to 2. Bundesliga
18,SC Paderborn 07,34,7,10,17,31,65,-34,31,Relegation to 2. Bundesliga
