Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Bayern Munich,34,26,4,4,100,32,68,82,Qualification for the Champions League group stage
2,Borussia Dortmund,34,21,6,7,84,41,43,69,Qualification for the Champions League group stage
3,RB Leipzig,34,18,12,4,81,37,44,66,Qualification for the Champions League group stage
4,Borussia Mönchengladbach,34,20,5,9,66,40,26,65,Qualification for the Champions League group stage
5,Bayer Leverkusen,34,19,6,9,61,44,17,63,Qualification for the Europa League group stage
6,1899 Hoffenheim,34,15,7,12,53,53,0,52,Qualification for the Europa League group stage
7,VfL Wolfsburg,34,13,10,11,48,46,2,49,Qualification for the Europa League second qualifying round
8,SC Freiburg,34,13,9,12,48,47,1,48,
9,Eintracht Frankfurt,34,13,6,15,59,60,-1,45,
10,Hertha BSC,34,11,8,15,48,59,-11,41,
11,Union Berlin,34,12,5,17,41,58,-17,41,
12,Schalke 04,34,9,12,13,38,58,-20,39,
13,Mainz 05,34,11,4,19,44,65,-21,37,
14,1. FC Köln,34,10,6,18,51,69,-18,36,
15,FC Augsburg,34,9,9,16,45,63,-18,36,
16,Werder Bremen,34,8,7,19,42,69,-27,31,Qualification for the relegation play-offs
17,Fortuna Düsseldorf,34,6,12,16,36,67,-31,30,Relegation to 2. Bundesliga
18,SC Paderborn,34,4,8,22,37,74,-37,20,Relegation to 2. Bundesliga
