Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Bayern Munich,34,25,7,2,89,22,67,82,Qualification for the Champions League group stage
2,RB Leipzig,34,20,7,7,66,39,27,67,Qualification for the Champions League group stage
3,Borussia Dortmund,34,18,10,6,72,40,32,64,Qualification for the Champions League group stage
4,1899 Hoffenheim,34,16,14,4,64,37,27,62,Qualification for the Champions League play-off round
5,1. FC Köln,34,12,13,9,51,42,9,49,Qualification for the Europa League group stage
6,Hertha BSC,34,15,4,15,43,47,-4,49,Qualification for the Europa League group stage
7,SC Freiburg,34,14,6,14,42,60,-18,48,Qualification for the Europa League third qualifying round
8,Werder Bremen,34,13,6,15,61,64,-3,45,
9,Borussia Mönchengladbach,34,12,9,13,45,49,-4,45,
10,Schalke 04,34,11,10,13,45,40,5,43,
11,Eintracht Frankfurt,34,11,9,14,36,43,-7,42,
12,Bayer Leverkusen,34,11,8,15,53,55,-2,41,
13,FC Augsburg,34,9,11,14,35,51,-16,38,
14,Hamburger SV,34,10,8,16,33,61,-28,38,
15,Mainz 05,34,10,7,17,44,55,-11,37,
16,VfL Wolfsburg,34,10,7,17,34,52,-18,37,Qualification for the relegation play-offs
17,FC Ingolstadt,34,8,8,18,36,57,-21,32,Relegation to 2. Bundesliga
18,Darmstadt 98,34,7,4,23,28,63,-35,25,Relegation to 2. Bundesliga
